행정동_ID,행정동코드,년도,월,자치구,행정동,온도 평균,습도 평균,자외선 평균,소음 평균,미세먼지,초미세먼지,쾌적도점수,쾌적도등급
11010530,1111053000,2025,1,종로구,사직동,0.7,54.6,0.2,48.0,43.2,31.4,23.7,5
11010540,1111054000,2025,1,종로구,삼청동,0.7,54.6,0.5,47.3,43.2,31.4,23.4,5
11010550,1111055000,2025,1,종로구,부암동,0.4,56.3,0.2,47.6,43.2,31.4,21.8,5
11010560,1111056000,2025,1,종로구,평창동,0.1,56.6,0.2,48.1,43.2,31.4,20.4,5
11010570,1111057000,2025,1,종로구,무악동,0.8,55.2,0.2,51.4,43.2,31.4,20.0,5
11010580,1111058000,2025,1,종로구,교남동,0.6,54.5,0.2,48.6,43.2,31.4,23.0,5
11010600,1111060000,2025,1,종로구,가회동,0.7,54.4,0.2,47.8,43.2,31.4,24.1,5
11010610,1111061500,2025,1,종로구,종로1.2.3.4가동,0.7,54.3,0.2,48.3,43.2,31.4,23.7,5
11010630,1111063000,2025,1,종로구,종로5.6가동,0.9,54.1,0.2,47.4,43.2,31.4,25.2,5
11010640,1111064000,2025,1,종로구,이화동,0.8,54.4,0.2,48.5,43.2,31.4,23.6,5
11010670,1111067000,2025,1,종로구,창신제1동,2.0,51.0,0.0,47.4,43.2,31.4,31.1,5
11010680,1111068000,2025,1,종로구,창신제2동,1.3,52.6,0.1,46.7,43.2,31.4,28.5,5
11010690,1111069000,2025,1,종로구,창신제3동,1.3,52.6,0.1,46.7,43.2,31.4,28.5,5
11010700,1111070000,2025,1,종로구,숭인제1동,2.7,49.4,0.0,48.2,43.2,31.4,32.1,5
11010710,1111071000,2025,1,종로구,숭인제2동,2.7,49.4,0.0,48.2,43.2,31.4,32.1,5
11010720,1111051500,2025,1,종로구,청운효자동,0.7,54.4,0.2,48.2,43.2,31.4,23.7,5
11010730,1111065000,2025,1,종로구,혜화동,0.8,54.3,0.2,47.8,43.2,31.4,24.4,5
11020520,1114052000,2025,1,중구,소공동,1.2,53.2,0.1,45.9,39.8,29.8,35.0,5
11020540,1114054000,2025,1,중구,회현동,1.2,53.2,0.1,45.5,39.8,29.8,35.4,5
11020550,1114055000,2025,1,중구,명동,1.2,53.2,0.1,45.7,39.8,29.8,35.2,5
11020570,1114057000,2025,1,용산구,필동,1.2,53.3,0.1,45.6,39.7,29.5,35.9,5
11020580,1114058000,2025,1,중구,장충동,1.2,53.2,0.1,45.5,39.8,29.8,35.4,5
11020590,1114059000,2025,1,중구,광희동,1.2,53.2,0.1,45.5,39.8,29.8,35.4,5
11020600,1114060500,2025,1,중구,을지로동,1.2,53.2,0.1,45.5,39.8,29.8,35.4,5
11020650,1114065000,2025,1,중구,신당제5동,0.3,49.7,0.0,51.1,39.8,29.8,31.3,5
11020670,1114067000,2025,1,중구,황학동,0.9,51.5,0.0,46.2,39.8,29.8,36.1,5
11020680,1114068000,2025,1,중구,중림동,1.3,53.4,0.1,46.0,39.8,29.8,34.9,5
11020690,1114061500,2025,1,중구,신당동,1.0,52.3,0.1,46.9,39.8,29.8,34.5,5
11020700,1114062500,2025,1,중구,다산동,0.3,49.7,0.0,51.1,39.8,29.8,31.3,5
11020710,1114063500,2025,1,중구,약수동,0.3,49.7,0.0,51.1,39.8,29.8,31.3,5
11020720,1114064500,2025,1,중구,청구동,0.3,49.7,0.0,51.1,39.8,29.8,31.3,5
11020730,1114066500,2025,1,중구,동화동,0.3,49.7,0.0,51.1,39.8,29.8,31.3,5
11030510,1117051000,2025,1,용산구,후암동,0.4,56.4,0.0,46.7,38.6,26.4,37.7,5
11030520,1117052000,2025,1,용산구,용산2가동,0.6,54.1,0.1,46.2,38.6,26.4,40.6,4
11030530,1117053000,2025,1,용산구,남영동,0.6,54.1,0.1,46.2,38.6,26.4,40.6,4
11030570,1117057000,2025,1,용산구,원효로제2동,0.6,54.1,0.1,46.2,38.6,26.4,40.6,4
11030580,1117058000,2025,1,용산구,효창동,-3.1,42.3,0.0,44.3,38.6,26.4,31.9,5
11030590,1117059000,2025,1,용산구,용문동,-0.6,50.2,0.1,45.6,38.6,26.4,42.6,4
11030630,1117063000,2025,1,동작구,이촌제1동,1.2,56.2,0.1,47.2,41.0,28.0,33.1,5
11030640,1117064000,2025,1,용산구,이촌제2동,1.1,57.0,0.1,45.6,38.6,26.4,39.3,5
