자치구,2017_점수,2017_등급,2018_점수,2018_등급,2019_점수,2019_등급,2020_점수,2020_등급,2021_점수,2021_등급,2022_점수,2022_등급,2023_점수,2023_등급,2024_점수,2024_등급,변화량,트렌드,2024_순위
종로구,24.2,5,21.7,5,16.9,5,19.5,5,16.6,5,19.5,5,26.0,5,30.0,5,5.8,상승,24
중구,31.6,5,29.2,5,26.7,5,29.6,5,31.8,5,33.3,5,26.5,5,30.0,5,-1.6,보합,24
용산구,30.9,5,35.7,5,37.4,5,38.5,4,42.4,4,39.6,4,36.7,5,30.7,5,-0.2,보합,22
성동구,75.3,1,76.5,1,78.4,1,78.7,1,82.2,1,80.9,1,78.9,1,73.3,1,-2.0,보합,2
광진구,43.2,4,50.1,3,50.6,3,47.6,4,49.3,3,45.3,4,42.2,4,44.8,4,1.6,보합,17
동대문구,48.8,3,49.4,3,48.1,4,46.0,4,45.1,4,46.2,4,49.0,3,43.5,4,-5.3,하락,18
중랑구,39.4,4,40.0,4,44.4,4,48.0,4,48.9,4,50.0,3,52.0,3,50.8,3,11.4,상승,14
성북구,57.6,2,62.7,2,66.4,1,65.7,1,66.7,1,64.1,1,64.9,1,66.2,1,8.6,상승,3
강북구,32.8,5,31.1,5,32.2,5,42.2,4,45.2,4,44.1,4,46.3,4,47.0,4,14.2,상승,16
도봉구,63.8,2,57.0,2,57.8,2,51.3,3,55.5,2,55.7,2,59.2,2,61.2,2,-2.6,보합,7
노원구,55.7,3,53.1,3,51.7,3,59.6,2,60.2,2,58.2,2,59.8,1,64.7,1,9.0,상승,4
은평구,62.2,2,64.3,1,65.4,2,66.0,1,63.6,1,66.2,1,63.0,1,63.0,1,0.8,보합,5
서대문구,74.9,1,74.6,1,72.5,1,74.5,1,77.2,1,77.7,1,75.2,1,76.6,1,1.7,보합,1
마포구,50.1,3,47.6,3,49.2,3,51.4,3,45.9,4,43.2,4,44.6,4,41.8,4,-8.3,하락,19
양천구,51.8,3,56.7,2,60.1,2,55.4,2,52.4,3,56.3,2,59.0,2,55.8,3,4.0,상승,12
강서구,43.4,4,44.6,4,42.1,4,38.3,5,35.0,5,30.9,5,29.6,5,30.6,5,-12.8,하락,23
구로구,45.2,3,44.8,4,47.8,4,49.3,3,53.6,3,54.2,3,53.4,3,56.6,3,11.4,상승,11
금천구,45.0,4,47.5,4,49.3,3,53.0,3,49.0,3,50.7,3,58.8,2,61.3,2,16.3,상승,6
영등포구,34.2,5,34.4,5,32.9,5,34.2,5,36.4,5,36.0,5,37.4,5,37.1,5,2.9,보합,21
동작구,63.0,2,62.0,2,59.1,2,56.6,2,58.5,2,60.1,2,58.8,2,59.2,2,-3.8,하락,9
관악구,35.9,4,38.3,4,37.8,4,32.3,5,32.6,5,36.9,5,37.7,4,37.3,4,1.4,보합,20
서초구,64.9,1,62.3,2,56.9,2,55.6,2,54.1,3,50.0,3,46.7,4,50.5,3,-14.4,하락,15
강남구,72.2,1,70.2,1,70.7,1,65.8,1,60.5,2,58.8,2,56.7,3,60.0,2,-12.2,하락,8
송파구,68.4,1,66.8,1,69.0,1,65.4,2,64.4,1,61.9,1,59.5,2,58.4,2,-10.0,하락,10
강동구,57.5,2,55.7,3,54.4,3,53.6,3,54.7,2,54.2,3,53.0,3,51.8,3,-5.7,하락,13
