자치구,2017_점수,2017_등급,2018_점수,2018_등급,2019_점수,2019_등급,2020_점수,2020_등급,2021_점수,2021_등급,2022_점수,2022_등급,2023_점수,2023_등급,2024_점수,2024_등급,변화량,트렌드,2024_순위
종로구,26.5,5,25.7,5,22.3,5,28.4,5,34.3,5,30.5,5,40.8,4,49.4,4,18.9,📈 상승,25
중구,35.5,5,35.9,5,35.8,5,45.6,4,53.9,3,49.1,4,47.3,4,53.6,3,4.5,📈 상승,23
용산구,35.9,5,42.2,4,44.3,4,51.6,3,61.8,3,52.7,3,53.4,3,53.2,3,0.5,➡️ 보합,24
성동구,78.4,1,82.1,1,83.6,1,86.0,1,89.2,1,88.9,1,91.0,1,90.2,1,1.3,➡️ 보합,2
광진구,45.9,4,52.4,3,55.0,3,58.9,3,67.1,2,59.2,3,60.3,3,65.8,2,6.6,📈 상승,16
동대문구,48.1,4,51.5,3,51.6,3,56.0,3,61.7,3,59.6,3,65.6,2,64.5,2,4.9,📈 상승,18
중랑구,37.1,5,43.6,4,50.3,3,57.9,3,64.4,2,60.8,3,64.4,2,66.0,2,5.2,📈 상승,15
성북구,59.0,3,66.6,2,71.6,2,74.0,2,76.8,1,75.8,1,79.2,1,82.0,1,6.2,📈 상승,4
강북구,35.2,5,36.0,5,38.2,4,51.9,3,61.1,3,56.1,3,59.9,3,62.3,3,6.2,📈 상승,19
도봉구,63.3,2,57.6,3,59.2,3,58.4,3,68.4,2,67.8,2,74.7,2,80.0,1,12.2,📈 상승,6
노원구,58.2,3,58.8,3,57.7,3,67.8,2,73.0,2,70.2,2,75.9,1,84.2,1,14.0,📈 상승,3
은평구,61.6,3,67.2,2,69.3,2,75.3,1,77.9,1,76.4,1,76.9,1,80.5,1,4.1,📈 상승,5
서대문구,73.9,2,77.6,1,77.1,1,83.7,1,87.3,1,87.8,1,89.0,1,92.7,1,4.9,📈 상승,1
마포구,51.9,3,52.5,3,54.4,3,64.4,2,64.7,2,58.8,3,63.3,2,65.1,2,6.3,📈 상승,17
양천구,51.9,3,60.6,3,65.1,2,66.1,2,69.4,2,68.4,2,73.7,2,74.2,2,5.8,📈 상승,11
강서구,44.3,4,48.2,4,46.5,4,49.8,4,53.5,3,47.7,4,50.6,3,55.5,3,7.8,📈 상승,22
구로구,46.5,4,48.4,4,53.1,3,59.5,3,69.8,2,66.3,2,68.9,2,74.6,2,8.3,📈 상승,10
금천구,43.0,4,48.1,4,51.4,3,62.6,3,64.6,2,63.5,2,69.9,2,74.0,2,10.5,📈 상승,12
영등포구,35.6,5,38.2,4,37.3,5,45.5,4,54.3,3,49.2,4,53.6,3,57.7,3,8.5,📈 상승,21
동작구,60.3,3,63.8,2,61.7,3,65.3,2,71.6,2,72.2,2,74.8,2,78.1,1,5.9,📈 상승,8
관악구,40.5,4,44.9,4,46.4,4,47.2,4,55.0,3,51.6,3,54.5,3,59.3,3,7.7,📈 상승,20
서초구,65.7,2,65.9,2,61.1,3,66.5,2,69.2,2,65.6,2,65.6,2,71.3,2,5.7,📈 상승,13
강남구,69.8,2,71.1,2,73.0,2,73.5,2,75.5,1,71.0,2,72.4,2,78.8,1,7.8,📈 상승,7
송파구,67.4,2,67.0,2,70.2,2,71.8,2,73.9,2,72.9,2,74.9,2,77.3,1,4.4,📈 상승,9
강동구,53.2,3,54.9,3,55.0,3,59.5,3,63.3,2,63.4,2,65.5,2,67.8,2,4.4,📈 상승,14
